vua_ID,vua_title,vua_hoten,vua_tuochieu,vua_chucvi,vua_ngaysinh,vua_ngaymat,trieudai_ID
0,Trưng Nữ Vương,Trưng Nữ vương,,Nữ vương,,05/03/43,0
1,Trưng Trắc,Trưng Trắc,,Nữ vương,13/09/14,14,0
2,Thi Sách,Thi,,,,15/01/40,
3,Trưng Nhị,Trưng Nhị,,Nữ vương,,05/03/43,0
4,Mai Hắc Đế,Mai Thúc Loan,,Vua,670,723,1
5,Mai Thiếu Đế,Mai Thiếu Đế,,,,723?,
6,Bạch Đầu Đế,Bạch Đầu Đế,,,,723?,
7,Bố Cái Đại Vương,Bố Cái Đại Vương,,,602,905,1
8,Phùng An,Phùng An,,Vua,,,
9,Đinh Kiến,Đinh Kiến,,,,,1
10,Dương Thanh,Dương Thanh,,,771,820,1
11,Dương Chí Liệt,Dương Chí Liệt,,,,,1
12,Lý Nam Đế,Lý Bí hoặc Lý Bôn,,Vua đầu tiên,503,548,2
13,Triệu Việt Vương,Triệu Quang Phục,,,524,571,
14,Hậu Lý Nam Đế,Lý Phật Tử,,Vua,571,602,2
15,Lý Sư Lợi,Lý Sư Lợi,,Vua cuối cùng,,,2
16,Lý Thiên Bảo,Lý Thiên Bảo,,,499?,555,2
17,Dương Đình Nghệ,Dương Đình Nghệ,,một nhà quân sự,22/11/874,937,
18,Kiều Công Tiễn,Kiều Công Tiễn,,,870,938,1
19,Ngô Quyền,Tiền Ngô Vương,,Vua đầu tiên,17/04/898,14/02/944,3
20,Dương Tam Kha,Dương Tam Kha,,,,980,3
21,Ngô Xương Ngập,Ngô Xương Ngập,,,915?,954,3
22,Ngô Xương Văn,Ngô Xương Văn,,,934,965,3
23,Ngô Xương Xí,Ngô Xương Xí,,,,,
24,Đinh Tiên Hoàng,Đinh Tiên Hoàng,,Hoàng đế đầu tiên,22/03/924,10/979,4
25,Đinh Phế Đế,Đinh Phế Đế,,Hoàng đế thứ 2,974,1001,4
26,Lê Đại Hành,Lê Hoàn,,Hoàng đế đầu tiên,10/08/941,18/04/1005,5
27,Lê Trung Tông (Tiền Lê),Lê Long Việt,,Hoàng đế thứ 2,983,21/12/1005,5
28,Lê Long Đĩnh,Lê Long Đĩnh,,Hoàng đế cuối cùng,15/11/986,19/11/1009,5
29,Lê Long Tung,Lê Long Tung,,,,,5
30,Lý Thái Tổ,Lý Thái Tổ,,Hoàng đế đầu tiên,08/03/974,31/03/1028,6
31,Lý Thái Tông,Lý Thái Tông,,Hoàng đế thứ 2,29/07/1000,03/11/1054,6
32,Lý Thánh Tông,Lý Thánh Tông,,Hoàng đế thứ 3,30/03/1023,01/02/1072,6
33,Lý Nhân Tông,Lý Nhân Tông,,Hoàng đế thứ 4,22/02/1066,15/01/1128,6
34,Lý Thần Tông,Lý Thần Tông,,Hoàng đế thứ 5,1116,31/10/1138,6
35,Lý Anh Tông,Lý Anh Tông,,Hoàng đế thứ 6,10/04/1136,14/08/1175,6
36,Lý Cao Tông,Cao Tông Trung Suy,,Hoàng đế thứ 7,06/07/1173,15/11/1210,6
37,Lý Thẩm,Lý Thẩm,,,,,6
38,Lý Huệ Tông,Lý Sảm,,Hoàng đế thứ 8,07/1194,03/09/1226,6
39,Lý Nguyên Hoàng,Nguyên vương,,,,1221,6
40,Lý Chiêu Hoàng,Chiêu Thánh Hoàng hậu,,Nữ Hoàng,1218,1278,6
41,Trần Thừa,Trần Thừa,Trần Huy Tông,Thái thượng hoàng đầu tiên,1184,17/02/1234,7
42,Trần Thái Tông,Trần Cảnh,,Hoàng đế đầu tiên,09/07/1218,05/05/1277,7
43,Trần Thánh Tông,Trần Hoảng,,Hoàng đế thứ 2,12/10/1240,03/07/1290,7
44,Trần Nhân Tông,Trần Khâm,,Hoàng đế thứ 3,07/12/1258,16/12/1308,7
45,Trần Anh Tông,Trần Thuyên,,Hoàng đế thứ 4,25/10/1276,21/04/1320,7
46,Trần Minh Tông,Trần Mạnh,,Hoàng đế thứ 5,04/10/1300,10/03/1357,7
47,Trần Hiến Tông,Trần Hiến Tông,,Hoàng đế thứ 6,17/05/1319,11/06/1341,7
48,Trần Dụ Tông,Trần Dụ Tông,,Hoàng đế thứ 7,22/11/1336,25/05/1369,7
49,Dương Nhật Lễ,Trần Nhật Lễ,,Hoàng đế thứ 8,1349,07/12/1370,7
50,Trần Nghệ Tông,Cung Định Vương Trần Phủ,,Hoàng đế thứ 9,20/12/1321,06/01/1395,7
51,Trần Duệ Tông,Trần Kính,,Hoàng đế thứ 10,30/06/1337,04/03/1377,7
52,Trần Phế Đế (Đại Việt),Trần Phế Đế (Đại Việt),Giản Hoàng,Hoàng đế thứ 10,06/03/1361,06/12/1388,7
53,Trần Thuận Tông,Trần Thuận Tông,,Hoàng đế thứ 12,1377,30/04/1400,7
54,Trần Thiếu Đế,Trần Thiếu Đế,,Hoàng đế thứ 13,1396,1400?,7
55,Trần Thiêm Bình,Trần Thiêm Bình,,,,1406,8
56,Giản Định Đế,Trần Ngỗi,,Hoàng đế,1375,1410,7
57,Trùng Quang Đế,Trần Quý Khoáng,,Hoàng đế thứ 2,,03/05/1414,7
58,Trần Cảo (vua),Trần Cảo (vua),,,,1428,
59,Hồ Quý Ly,Hồ Quý Ly,,Hoàng đế đầu tiên,1336,1407,
60,Hồ Hán Thương,Hồ Hán Thương,,Hoàng đế thứ 2,1383,1407,8
61,Lê Thái Tổ,Lê Lợi,,Hoàng đế,10/09/1385,05/10/1433,
62,Lê Thái Tông,Lê Nguyên Long,,Hoàng đế thứ 2,22/12/1423,07/09/1442,9
63,Lê Nhân Tông,Lê Bang Cơ,,Hoàng đế thứ 3,28/05/1441,25/10/1459,9
64,Lê Nghi Dân,Lê Nghi Dân,Thiên Hưng,Hoàng đế thứ 4,10/1439,06/06/1460,9
65,Lê Thánh Tông,Hồng Đức thịnh trị,,Hoàng đế thứ 4,25/08/1442,03/03/1497,9
66,Lê Hiến Tông,Lê Hiến Tông,Cảnh Thống,Hoàng đế thứ 6,06/09/1461,24/06/1504,9
67,Lê Túc Tông,Lê Túc Tông,Thái Trinh,Hoàng đế thứ 7,06/09/1488,12/01/1505,9
68,Lê Uy Mục,Mẫn Lệ công,,Hoàng đế thứ 8,05/05/1488,20/01/1510,9
